x,y,z,yaw
1.75,-2.5,4.999999999999993,1.5707963267948966
1.625,-2.5,4.999999999999993,1.5707963267948966
1.5,-2.5,4.999999999999993,1.5707963267948966
1.375,-2.5,4.999999999999993,1.5707963267948966
1.25,-2.5,4.999999999999993,1.5707963267948966
1.125,-2.5,4.999999999999993,1.5707963267948966
1.0,-2.5,4.999999999999993,1.5707963267948966
0.875,-2.5,4.999999999999993,1.5707963267948966
0.75,-2.5,4.999999999999993,1.5707963267948966
0.625,-2.5,4.999999999999993,1.5707963267948966
0.5,-2.5,4.999999999999993,1.5707963267948966
0.375,-2.5,4.999999999999993,1.5707963267948966
0.25,-2.5,4.999999999999993,1.5707963267948966
0.125,-2.5,4.999999999999993,1.5707963267948966
0.0,-2.5,4.999999999999993,1.5707963267948966
-0.125,-2.5,4.999999999999993,1.5707963267948966
-0.25,-2.5,4.999999999999993,1.5707963267948966
-0.375,-2.5,4.999999999999993,1.5707963267948966
-0.5,-2.5,4.999999999999993,1.5707963267948966
-0.625,-2.5,4.999999999999993,1.5707963267948966
-0.75,-2.5,4.999999999999993,1.5707963267948966
-0.875,-2.5,4.999999999999993,1.5707963267948966
-1.0,-2.5,4.999999999999993,1.5707963267948966
-1.125,-2.5,4.999999999999993,1.5707963267948966
-1.25,-2.5,4.999999999999993,1.5707963267948966
-1.375,-2.5,4.999999999999993,1.5707963267948966
-1.5,-2.5,4.999999999999993,1.5707963267948966
-1.625,-2.5,4.999999999999993,1.5707963267948966
-1.75,-2.5,4.999999999999993,1.5707963267948966
-1.875,-2.5,4.999999999999993,1.5707963267948966
-2.0,-2.5,4.999999999999993,1.5707963267948966
-2.125,-2.5,4.999999999999993,1.5707963267948966
-2.25,-2.5,4.999999999999993,1.5707963267948966
-2.375,-2.5,4.999999999999993,1.5707963267948966
-2.5,-2.5,4.999999999999993,1.5707963267948966
-2.5,-2.5,4.999999999999993,1.413716694115407
-2.5,-2.5,4.999999999999993,1.2566370614359172
-2.5,-2.5,4.999999999999993,1.0995574287564276
-2.5,-2.5,4.999999999999993,0.9424777960769379
-2.5,-2.5,4.999999999999993,0.7853981633974483
-2.5,-2.5,4.999999999999993,0.6283185307179586
-2.5,-2.5,4.999999999999993,0.47123889803846897
-2.5,-2.5,4.999999999999993,0.3141592653589793
-2.5,-2.5,4.999999999999993,0.15707963267948966
-2.5,-2.5,4.999999999999993,0.0
